family,subfamily,site_count,xyz_mean_abs,uniformity,same_sign,best_q,best_q_label,best_S,mean_S,contrast,S0,peak_to_q0,beta,mode,lambda,body_mean_abs,corner_mean_abs,P_bc
primitive,centers,27,0.010678020824529481,0.16172350614562547,1.0589815555226604e-15,"(1, 0, 0)",X1,0.41516015023200137,0.06306324000551494,0.7362603281525227,1.1214419349371936e-30,415160150232000.9,0.0,19,6.750997698987174,,,
fcc,faces_combined,54,0.01778399833966205,0.11230787215009708,3.934277256520523e-15,"(1, 0, 1)",X1+Z1,0.18952398876463877,0.05859153189781298,0.5277076440733914,1.545012351691454e-29,189523988764635.84,0.0,20,6.87595554376675,,,
bcc,body_plus_corners,35,0.032812304624779874,0.0,4.3502875503950124e-16,"(1, 0, 0)",X1,0.6566994085344517,0.12327507594619183,0.6838997213395346,1.8925001771121838e-31,656699408534451.6,0.0,19,6.750997698987179,0.010678020824529481,0.10751551245062493,-0.8193129432949352
primitive,centers,27,0.00290705081587159,0.26703824833811585,0.12259401405730298,"(1, 1, 1)",X1+Y1+Z1,0.2219360203240433,0.05693455294072547,0.5916775852382944,0.015029292282682202,14.766897612321952,1.0,17,8.41805923724712,,,
fcc,faces_combined,54,0.005578454610076457,0.5798801084972767,0.17681969492039984,"(1, 1, 1)",X1+Y1+Z1,0.3554742416436359,0.0374588735698075,0.8093371511868628,0.031265204511743284,11.36964389630356,1.0,17,8.41805923724712,,,
bcc,body_plus_corners,35,0.005729233240160909,0.0,0.10985775086165454,"(1, 1, 1)",X1+Y1+Z1,0.3910792857852956,0.06820885171947916,0.7029801288139282,0.012068725424381359,32.40435688388444,1.0,17,8.41805923724711,0.00290705081587159,0.015254098922137358,-0.6798604870496887
primitive,centers,27,0.005289537864534578,0.0,0.0011839511635766613,"(1, 2, 1)",X1+Y2+Z1,0.5471763614748343,0.08136960070902965,0.7410862352012769,1.4017403577345879e-06,390355.00266882114,3.0,13,11.127835581585959,,,
fcc,faces_combined,54,0.009778092623453746,0.5429046672808624,0.10320116846209691,"(1, 1, 1)",X1+Y1+Z1,0.47065616871000926,0.04215172335423573,0.8356042330606123,0.010650481171942106,44.19107091141323,3.0,17,11.426461622306006,,,
bcc,body_plus_corners,35,0.009381611988648491,0.0,0.1441679293430794,"(1, 1, 1)",X1+Y1+Z1,0.5069178821764884,0.06244523366568064,0.7806488269851634,0.020784391851071147,24.38935359806255,3.0,17,11.42646162230601,0.004523993537756811,0.025776074260407913,-0.7013872333294792
primitive,centers,27,0.005377475313749242,0.5241164099067963,0.07841028982460779,"(2, 2, 2)",X2+Y2+Z2,0.5334804021626645,0.04542463671555793,0.843067053610104,0.006148173550378992,86.77055027662522,4.5,17,12.631570560389909,,,
fcc,faces_combined,54,0.011082376865882447,0.40919936911243693,0.044716816826962574,"(1, 1, 1)",X1+Y1+Z1,0.5458561682965835,0.04702667512221006,0.8413626717513486,0.0019995937071361253,272.9835397802392,4.5,17,12.631570560389848,,,
bcc,body_plus_corners,35,0.010753876582957417,0.0,0.13608155814356762,"(1, 1, 1)",X1+Y1+Z1,0.4911992948974981,0.05629531452613531,0.7943529906699913,0.018518190466781177,26.525231813475976,4.5,17,12.631570560389877,0.005377475313749242,0.02889923086653501,-0.6862315016229491
primitive,centers,27,0.005257464156780589,0.5972551269862296,0.1324443326826209,"(2, 2, 2)",X2+Y2+Z2,0.5139297190727448,0.043044571582923116,0.8454342604135224,0.017541501259744765,29.29793245530875,5.0,17,12.928646744114632,,,
fcc,faces_combined,54,0.011528123456261634,0.3975473170345305,0.02761369726217875,"(1, 1, 1)",X1+Y1+Z1,0.5521925207939617,0.04731840583052243,0.8421433080562962,0.0007625162764872601,724.1714541977564,5.0,17,12.928646744114651,,,
bcc,body_plus_corners,35,0.01082034179316718,0.0,0.12417801588039433,"(1, 1, 1)",X1+Y1+Z1,0.48182149491728526,0.05604157079378682,0.7916139836830087,0.015420179627991465,31.24616616285248,5.0,17,12.928646744114685,0.005257464156780589,0.02959505381597192,-0.6983021909125079
primitive,centers,27,0.007635501325996441,0.23723409980777777,0.14649958134599927,"(2, 2, 2)",X2+Y2+Z2,0.6102282705426048,0.058585622907266245,0.8248073986469668,0.021462127334553056,28.43279517590674,10.0,4,5.983170640286728,,,
fcc,faces_combined,54,0.014031608906371748,0.2698545946718446,0.07515619764608758,"(1, 1, 1)",X1+Y1+Z1,0.5910366024950701,0.050791093735745134,0.8417298161671106,0.005648454044617778,104.6368790161521,10.0,17,14.58568821890518,,,
bcc,body_plus_corners,35,0.010751924060740643,0.0,0.13790733007023318,"(1, 1, 1)",X1+Y1+Z1,0.45621075137850375,0.0627862343651724,0.7580477879839486,0.01901843168710024,23.987821860617295,10.0,17,14.585688218905146,0.004148568953864799,0.03303824754644662,-0.7768795856009646
